Sentence_ID	Sentence_Index	Aspect_Index	Aspect	Dep_Words	Aspect_Polarity
3121	0	0	staff	['the', 'horrible']	negative
2777	1	0	food	['fair', 'ROOT', 'average', 'which', 'factor', 'the', 'was', 'make']	positive
1634	2	0	food	['The', 'kitchen']	positive
1634	2	1	kitchen	['a', 'exceptional', 'food', 'with', 'is', 'capable', 'which', 'ROOT', 'whip']	positive
1634	2	2	menu	['on', "'s", 'whether', 'it', 'feel', 'not', 'the', 'or']	neutral
2846	5	0	food	['great', 'outstanding', 'ROOT', 'but', 'only', 'the', 'was']	positive
2846	5	1	perks	['great', 'little', 'the']	positive
1458	7	0	orrechiete with sausage and chicken	['the', 'is', 'ROOT', 'favorite', 'kind']	positive
1458	7	1	waiters	['usually', 'the', 'kind', 'split']	positive
1458	7	2	meats	['sample', 'both']	neutral
1458	7	3	dish	['the', 'split']	neutral
3161	8	0	Bagels	['The', 'have']	positive
2391	9	0	food	['Nevertheless', 'the', 'good', 'ROOT']	positive
986	10	0	songs	['traditional', 'vietnamese', 'noticed', 'megadeth']	neutral
296	11	0	toast	['our', 'forgot']	negative
296	11	1	mayonnaise	['left', 'forgot']	negative
296	11	2	bacon	['cooked', 'the']	negative
296	11	3	cheese	['ie', 'omelet', 'ingredients']	neutral
296	11	4	ingredients	['cheese', 'left']	negative
296	11	5	plate	['on', 'the', 'crumbled']	neutral
296	11	6	omelet	['cheese', 'in', 'an']	neutral
1793	12	0	drinks	['have']	neutral
1793	12	1	check	['our', 'get']	neutral
2200	13	0	design	['and', 'The', 'good', 'atmosphere']	positive
2200	13	1	atmosphere	['good', 'design']	positive
3195	14	0	cuisine	['on', 'the', 'expert']	positive
3359	16	0	pizza	['crusted', 'The', 'thin', 'best', 'like']	positive
3359	16	1	thin crusted pizza	['The', 'like', 'best']	neutral
3534	26	0	interior decoration	['the', 'into', 'went']	positive
3534	26	1	chefs	['to', 'the', 'went']	negative
1407	27	0	seats	['The', 'uncomfortable']	negative
565	28	0	seltzer with lime	['asked', 'ice', 'for']	neutral
675	31	0	pickles	['and', 'selection', 'with', 'people']	positive
675	31	1	selection of meats and seafoods	['a', 'pickles', 'people']	positive
2227	32	0	dishes	['try', 'the', 'other']	neutral
